antecedents,consequents,support,confidence,lift
"PASTA SAUCE, SYRUPS",PANCAKE MIXES,0.006173053559803266,0.21699773165716227,2.7268704899206857
"PASTA, SYRUPS",PANCAKE MIXES,0.006874125732846573,0.2077819096576616,2.611061200768742
"PANCAKE MIXES, PASTA SAUCE",SYRUPS,0.006173053559803266,0.4697136563876652,2.3645924855186933
"PASTA, PANCAKE MIXES",SYRUPS,0.006874125732846573,0.45606769895570765,2.295897168781545
SYRUPS,PANCAKE MIXES,0.032470044618343845,0.1634579332852643,2.054070386888764
PANCAKE MIXES,SYRUPS,0.032470044618343845,0.40803010151303293,2.0540703868887635
"PASTA, PANCAKE MIXES",PASTA SAUCE,0.00832089746887315,0.5520545752810787,1.1857948834279588
"PASTA, SYRUPS",PASTA SAUCE,0.01716797598805192,0.5189306937912429,1.1146458866645086
"PANCAKE MIXES, PASTA SAUCE",PASTA,0.00832089746887315,0.6331451908957415,1.070751284904294
"PASTA SAUCE, SYRUPS",PASTA,0.01716797598805192,0.603495791906044,1.0206093387577166
PASTA,PASTA SAUCE,0.24721191889032185,0.41807548031910446,0.8980122394541666
PASTA SAUCE,PASTA,0.24721191889032185,0.5310029871472355,0.8980122394541666
